2025-05-05 11:25:25.314 [main] WARN  com.teak.blog.ServiceMonitorAspect - SysScheduledTaskServiceImpl.findByStatus(..) 超时警告！耗时 1883 ms
2025-05-05 11:25:28.000 [scheduled-task-5] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@3896453f
2025-05-05 11:25:27.999 [scheduled-task-11] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@5aeee291
2025-05-05 11:25:28.000 [scheduled-task-13] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@67bf55
2025-05-05 11:25:27.999 [scheduled-task-4] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@46edfef8
2025-05-05 11:25:27.999 [scheduled-task-1] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@47008aa9
2025-05-05 11:25:27.999 [scheduled-task-14] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@44f6c3b9
2025-05-05 11:25:28.000 [scheduled-task-16] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@b50b9e9
2025-05-05 11:25:28.000 [scheduled-task-10] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@27df33c4
2025-05-05 11:25:28.000 [scheduled-task-2] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@5d38507
2025-05-05 11:25:27.999 [scheduled-task-6] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@15126d46
2025-05-05 11:26:22.684 [main] WARN  com.teak.blog.ServiceMonitorAspect - SysScheduledTaskServiceImpl.findByStatus(..) 超时警告！耗时 1747 ms
2025-05-05 11:26:26.001 [scheduled-task-3] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@5d38507
2025-05-05 11:26:26.001 [scheduled-task-8] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@56772152
2025-05-05 11:26:26.001 [scheduled-task-1] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@1317bb92
2025-05-05 11:26:26.001 [scheduled-task-10] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@9c164ac
2025-05-05 11:26:26.001 [scheduled-task-7] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@15126d46
2025-05-05 11:26:26.001 [scheduled-task-18] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@45a9aec3
2025-05-05 11:26:26.001 [scheduled-task-4] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@261159e1
2025-05-05 11:26:26.002 [scheduled-task-20] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@7f79b536
2025-05-05 11:26:26.001 [scheduled-task-19] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@62fa9ddd
2025-05-05 11:26:26.002 [scheduled-task-11] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@1b49219f
2025-05-05 11:26:51.081 [main] WARN  com.teak.blog.ServiceMonitorAspect - SysScheduledTaskServiceImpl.findByStatus(..) 超时警告！耗时 1785 ms
2025-05-05 11:26:54.013 [scheduled-task-6] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@6e8c544e
2025-05-05 11:26:54.013 [scheduled-task-7] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@9c164ac
2025-05-05 11:26:54.013 [scheduled-task-1] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@261159e1
2025-05-05 11:26:54.013 [scheduled-task-11] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@341486e9
2025-05-05 11:26:54.013 [scheduled-task-5] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@56772152
2025-05-05 11:26:54.013 [scheduled-task-13] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@1fe67950
2025-05-05 11:26:54.013 [scheduled-task-19] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@19db9d08
2025-05-05 11:26:54.013 [scheduled-task-16] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@70ebc6f8
2025-05-05 11:26:54.013 [scheduled-task-20] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@54b639fc
2025-05-05 11:26:54.013 [scheduled-task-15] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@339fe2f8
2025-05-05 11:30:36.462 [main] WARN  com.teak.blog.ServiceMonitorAspect - SysScheduledTaskServiceImpl.findByStatus(..) 超时警告！耗时 2225 ms
2025-05-05 11:30:40.014 [scheduled-task-1] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@14e9c28b
2025-05-05 11:30:40.015 [scheduled-task-2] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@45750b59
2025-05-05 11:30:40.014 [scheduled-task-18] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@44c1c690
2025-05-05 11:30:40.014 [scheduled-task-13] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@5b2650fd
2025-05-05 11:30:40.014 [scheduled-task-4] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@5d671a67
2025-05-05 11:30:40.014 [scheduled-task-15] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@2648469d
2025-05-05 11:30:40.014 [scheduled-task-7] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@74bc027a
2025-05-05 11:30:40.014 [scheduled-task-10] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@14f61663
2025-05-05 11:30:40.015 [scheduled-task-17] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@3c00a3cb
2025-05-05 11:30:40.015 [scheduled-task-14] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@61e34164
2025-05-05 11:31:14.742 [main] WARN  com.teak.blog.ServiceMonitorAspect - SysScheduledTaskServiceImpl.findByStatus(..) 超时警告！耗时 1522 ms
2025-05-05 11:31:18.011 [scheduled-task-12] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@3bd7d4c4
2025-05-05 11:31:18.011 [scheduled-task-6] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@4ce0dbf0
2025-05-05 11:31:18.011 [scheduled-task-7] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@1f17e947
2025-05-05 11:31:18.011 [scheduled-task-5] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@27278448
2025-05-05 11:31:18.011 [scheduled-task-14] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@11bc62db
2025-05-05 11:31:18.011 [scheduled-task-13] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@7e1105e7
2025-05-05 11:31:18.011 [scheduled-task-16] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@19f571d5
2025-05-05 11:31:18.011 [scheduled-task-15] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@739cf16
2025-05-05 11:31:18.011 [scheduled-task-10] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@47008aa9
2025-05-05 11:31:18.011 [scheduled-task-3] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@14f61663
2025-05-05 11:40:31.053 [main] WARN  com.teak.blog.ServiceMonitorAspect - SysScheduledTaskServiceImpl.findByStatus(..) 超时警告！耗时 1847 ms
2025-05-05 11:40:34.014 [scheduled-task-10] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@5d38507
2025-05-05 11:40:34.014 [scheduled-task-7] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@3bc44125
2025-05-05 11:40:34.014 [scheduled-task-2] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@14f61663
2025-05-05 11:40:34.014 [scheduled-task-9] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@47008aa9
2025-05-05 11:40:34.014 [scheduled-task-15] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@28e81ae6
